,Year,Quarter,Subject,ID,College,MinUnit,Unit,PassNP,Letter,Monday,Tuesday,Wednesday,Thursday,Friday,StartTime,EndTime,Building,CurEnroll,MaxEnroll,RatioEnroll
411,,2,EEMB,147,L&S,,4.0,0,1,0,1,0,0,0,720.0,770.0,ARTS,24,24,1.0
412,,2,EEMB,147,L&S,,4.0,0,1,0,1,0,0,0,1080.0,1130.0,HSSB,24,24,1.0
413,,2,EEMB,148,L&S,,4.0,0,1,0,1,0,1,0,750.0,825.0,BUCHN,144,144,1.0
414,,2,EEMB,148,L&S,,4.0,0,1,0,1,0,0,0,840.0,890.0,PSY-E,24,24,1.0
415,,2,EEMB,148,L&S,,4.0,0,1,0,1,0,0,0,900.0,950.0,PSY-E,24,24,1.0
416,,2,EEMB,148,L&S,,4.0,0,1,0,1,0,0,0,960.0,1010.0,PSY-E,24,24,1.0
417,,2,EEMB,148,L&S,,4.0,0,1,0,0,1,0,0,720.0,770.0,PSY-E,24,24,1.0
418,,2,EEMB,148,L&S,,4.0,0,1,0,0,1,0,0,780.0,830.0,PSY-E,24,24,1.0
419,,2,EEMB,148,L&S,,4.0,0,1,0,0,1,0,0,840.0,890.0,PSY-E,24,24,1.0
420,,2,EEMB,157C,L&S,,4.0,0,1,0,1,0,1,0,750.0,825.0,GIRV,19,32,0.59375
421,,2,EEMB,157C,L&S,,4.0,0,1,0,0,0,1,0,900.0,1070.0,MLAB,15,16,0.9375
422,,2,EEMB,157C,L&S,,4.0,0,1,0,0,0,0,1,540.0,710.0,MLAB,4,16,0.25
423,,2,EEMB,176,L&S,,5.0,0,1,1,0,1,0,0,600.0,710.0,PSY-E,4,5,0.8
424,,2,EEMB,176,L&S,,5.0,0,1,0,0,1,0,0,780.0,890.0,PSY-E,4,5,0.8
425,,2,EEMB,176L,L&S,,2.0,0,1,0,0,0,1,0,900.0,1010.0,PSY-E,4,5,0.8
426,,2,EEMB,180,L&S,,5.0,0,1,0,1,0,1,0,570.0,645.0,SSMS,37,44,0.8409090909090909
427,,2,EEMB,180,L&S,,5.0,0,1,0,0,0,1,0,840.0,950.0,SSMS,22,22,1.0
428,,2,EEMB,180,L&S,,5.0,0,1,0,0,0,1,0,840.0,950.0,SSMS,15,22,0.6818181818181818
429,,2,EEMB,183,L&S,1.0,5.0,1,0,0,0,0,0,0,,,nan,0,1,0.0
430,,2,EEMB,184,L&S,1.0,12.0,1,0,0,0,0,0,0,,,nan,0,1,0.0
431,,2,EEMB,190,L&S,,1.0,1,0,1,0,0,0,0,930.0,1005.0,HSSB,1,10,0.1
432,,2,EEMB,194D,L&S,,2.0,1,1,0,1,0,0,0,1140.0,1250.0,LSB,0,5,0.0
433,,2,EEMB,194EV,L&S,,2.0,1,1,0,0,0,1,0,900.0,1010.0,LSB,0,5,0.0
434,,2,EEMB,194MS,L&S,,2.0,1,1,0,1,0,0,0,720.0,800.0,LSB,0,10,0.0
435,,2,EEMB,197,L&S,1.0,5.0,1,1,0,0,0,0,0,,,nan,0,1,0.0
436,,2,EEMB,198,L&S,1.0,5.0,1,1,0,0,0,0,0,,,nan,0,1,0.0
437,,2,EEMB,199,L&S,1.0,5.0,1,1,0,0,0,0,0,,,nan,0,1,0.0
438,,2,ART,1A,L&S,,5.0,1,1,0,1,0,1,0,750.0,825.0,BUCHN,100,100,1.0
439,,2,ART,1A,L&S,,5.0,1,1,0,0,1,0,0,780.0,830.0,ARTS,25,25,1.0
440,,2,ART,1A,L&S,,5.0,1,1,0,0,0,1,0,600.0,650.0,ARTS,25,25,1.0
441,,2,ART,1A,L&S,,5.0,1,1,0,0,1,0,0,720.0,770.0,ARTS,25,25,1.0
442,,2,ART,1A,L&S,,5.0,1,1,0,0,0,1,0,660.0,710.0,ARTS,25,25,1.0
443,,2,ART,1C,L&S,,2.0,0,1,0,0,0,1,0,1020.0,1130.0,EMBARHALL,225,225,1.0
444,,2,ART,7A,L&S,,5.0,1,1,1,0,0,0,0,900.0,1010.0,IV   THEA,144,145,0.993103448275862
445,,2,ART,7A,L&S,,5.0,1,1,0,1,0,1,0,720.0,830.0,ARTS,24,24,1.0
446,,2,ART,7A,L&S,,5.0,1,1,0,0,1,0,1,660.0,770.0,ARTS,24,24,1.0
447,,2,ART,7A,L&S,,5.0,1,1,0,1,0,1,0,540.0,650.0,ARTS,24,24,1.0
448,,2,ART,7A,L&S,,5.0,1,1,0,0,1,0,1,780.0,890.0,ARTS,24,24,1.0
449,,2,ART,7A,L&S,,5.0,1,1,0,1,0,1,0,840.0,950.0,ARTS,24,24,1.0
450,,2,ART,7A,L&S,,5.0,1,1,0,0,1,0,1,540.0,650.0,ARTS,24,24,1.0
451,,2,ART,10,L&S,,4.0,1,1,1,0,1,0,0,540.0,710.0,ARTS,18,18,1.0
