20184_SOC.html,SOC       1,L&S,4.0,Optional,W,8:00 am - 8:50 am,387  1015,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,R,7:00pm - 7:50pm,PHELP2514,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,2:00pm - 2:50pm,HSSB 1233,1 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,W,8:00 am - 8:50 am,387  1011,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,M,8:00 am - 8:50 am,HSSB 4202,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,M,2:00pm - 2:50pm,HSSB 1233,19 / 23
20184_SOC.html,SOC       1,L&S,4.0,Optional,W,7:00pm - 7:50pm,BUCHN1934,1 / 23
20184_SOC.html,SOC       1H,L&S,1.0,Optional,T,3:00pm - 3:50pm,GIRV 2110,0 / 15
20184_SOC.html,SOC      98,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 1
20184_SOC.html,SOC      99,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 1
20184_SOC.html,SOC     105E,L&S,4.0,Optional,T R,12:30pm - 1:45pm,PHELP3515,4 / 70
20184_SOC.html,SOC     108,L&S,4.0,Optional,T R,11:00am - 12:15pm,PHELP2516,40 / 60
20184_SOC.html,SOC     108,L&S,4.0,Optional,F,1:00pm - 1:50pm,HSSB 3201,3 / 15
20184_SOC.html,SOC     108,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1207,11 / 15
20184_SOC.html,SOC     108,L&S,4.0,Optional,R,8:00 am - 8:50 am,GIRV 2110,11 / 15
20184_SOC.html,SOC     108,L&S,4.0,Optional,R,9:00 am - 9:50 am,GIRV 1106,15 / 15
20184_SOC.html,SOC     108C,L&S,4.0,Optional,T R,9:30 am - 10:45am,PHELP3505,8 / 60
20184_SOC.html,SOC     108C,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1206,0 / 15
20184_SOC.html,SOC     108C,L&S,4.0,Optional,W,3:00pm - 3:50pm,GIRV 2135,8 / 15
20184_SOC.html,SOC     108C,L&S,4.0,Optional,W,8:00 am - 8:50 am,GIRV 2110,0 / 15
20184_SOC.html,SOC     108C,L&S,4.0,Optional,F,1:00pm - 1:50pm,GIRV 1108,0 / 15
20184_SOC.html,SOC     108ST,L&S,4.0,Optional,T R,5:00pm - 6:15pm,PHELP3505,0 / 60
20184_SOC.html,SOC     108ST,L&S,4.0,Optional,W,8:00 am - 8:50 am,HSSB 4202,0 / 20
20184_SOC.html,SOC     108ST,L&S,4.0,Optional,W,9:00 am - 9:50 am,SH   1609,0 / 20
20184_SOC.html,SOC     108ST,L&S,4.0,Optional,W,8:00 am - 8:50 am,NH   1111,0 / 20
20184_SOC.html,SOC     108ST,L&S,4.0,Optional,W,11:00am - 11:50am,HSSB 1211,0 / 20
20184_SOC.html,SOC     122,L&S,4.0,Optional,M W,9:30 am - 10:45am,WEBB 1100,5 / 80
20184_SOC.html,SOC     124,L&S,4.0,Optional,M,5:00pm - 7:50pm,BIOEN1001,5 / 90
20184_SOC.html,SOC     128,L&S,4.0,Optional,M W,12:30pm - 1:45pm,HSSB 1174,17 / 80
20184_SOC.html,SOC     130A,L&S,4.0,Optional,M W,9:30 am - 10:45am,PHELP1260,2 / 80
20184_SOC.html,SOC     130GR,L&S,4.0,Optional,T,5:00pm - 7:50pm,BUCHN1920,13 / 140
20184_SOC.html,SOC     131,L&S,4.0,Optional,T R,12:30pm - 1:45pm,PHELP1260,6 / 80
