20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_ART.html,ART       7C,L&S,5.0,Optional,T,3:30pm - 4:45pm,PSYCH1902,67 / 75
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,9:00 am - 10:50am,ARTS 1345,19 / 24
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,9:00 am - 10:50am,ARTS 0645,19 / 24
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,1:00pm - 2:50pm,ARTS 1345,23 / 23
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,1:00pm - 2:50pm,ARTS 0645,23 / 23
20201_ART.html,ART       7C,L&S,5.0,Optional,T R,1:00pm - 2:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7C,L&S,5.0,Optional,T R,1:00pm - 2:50pm,ARTS 0645,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,R,3:30pm - 4:45pm,BUCHN1940,95 / 100
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,11:00am - 12:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,11:00am - 12:50pm,ARTS 2220,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,3:00pm - 4:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,3:00pm - 4:50pm,ARTS 2220,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,T R,9:00 am - 10:50am,ARTS 1345,26 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,T R,9:00 am - 10:50am,ARTS 2220,26 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,5:00pm - 6:50pm,ARTS 1345,19 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,5:00pm - 6:50pm,ARTS 2220,19 / 25
20201_ART.html,ART      10,L&S,4.0,Letter,M W,9:00 am - 11:50am,ARTS 2628,17 / 18
20201_ART.html,ART      14,L&S,4.0,Optional,T R,9:00 am - 11:50am,ARTS 2235,17 / 17
20201_ART.html,ART      18,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 2636,18 / 18
20201_ART.html,ART      19,L&S,4.0,Optional,T R,12:00pm - 2:20pm,ARTS 1237,20 / 23
20201_ART.html,ART      22,L&S,4.0,Optional,T R,12:00pm - 2:50pm,ARTS 2220,16 / 21
20201_ART.html,ART     100,L&S,4.0,Optional,T R,1:00pm - 2:50pm,ARTS 2422,20 / 20
